iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,545.4348044395447,865.25,1200.9548024384599,4250,0,85.13621200884873,0.05,0.30803513526916504,5.254372835159302,0.024921805,0.06115587,865.25,33.5,39912,49.356807708740234,0.9998838661052046,0.5825242813675786,1690.0
1,547.5136694908142,908.375,1277.066407582237,4350,0,83.0927954363203,0.05,0.35732269287109375,5.2050461769104,0.024726547,0.062844194,869.5625,32.5,39932,48.337300539016724,0.6286502822866833,0.5545065395363681,1390.0
2,550.0879843235016,901.25,1257.6956855694466,4150,0,83.32271522284937,0.05,0.30718994140625,5.342348337173462,0.024843935,0.06135788,872.73125,34.0,39934,48.08820819854736,0.5877172745881011,0.5213028283693599,1332.0
3,551.1175947189331,907.375,1200.0997289288086,4250,0,86.63258904314732,0.05,0.263808012008667,5.095685720443726,0.025040189,0.058295622,876.1956250000001,35.25,39905,49.569087266922,0.5423347144308929,0.46816062625745253,1362.0
4,544.989360332489,1035.875,1303.171797720853,4350,0,82.47290770853854,0.05,0.588353157043457,5.170340299606323,0.025002457,0.06167534,892.1635625,38.25,39994,47.459978103637695,0.4441173193182073,0.39830408009323304,1234.0
5,543.0138351917267,1004.375,1315.1566862450268,4400,0,83.50594964114788,0.05,0.4009416103363037,5.223875522613525,0.025148472,0.060226254,903.38470625,37.25,39931,37.19334363937378,0.45456457860435184,0.41015682786931557,1518.0
6,544.5604951381683,945.25,1291.0712364157139,4400,0,82.92588807884296,0.05,0.4367690086364746,5.084716558456421,0.02496306,0.06093534,907.571235625,35.0,39959,38.56071758270264,0.4801180219936975,0.42700867038247375,1298.0
7,540.7428963184357,1225.875,1415.7415846032777,4400,0,81.59711405407492,0.05,0.5722548961639404,5.421318292617798,0.024952125,0.06174139,939.4016120625,44.75,39974,46.13192868232727,0.41823137718092523,0.37017629181543504,1646.0
8,544.2884635925293,1110.875,1383.9347832809897,4450,0,85.48529877744294,0.05,0.4616231918334961,5.12126612663269,0.025067922,0.059330966,956.54895085625,39.75,39919,44.98444700241089,0.37734757351024595,0.3202816665943692,1464.0
9,544.0003046989441,1146.625,1421.045340365676,4450,0,80.65779281517474,0.05,0.2997438907623291,5.23222541809082,0.025067937,0.06262527,975.5565557706251,39.5,39986,50.719422340393066,0.4030363921902325,0.37334992214250406,1674.0
