iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,714.8956315517426,7.75,107.221441419149,1520.0,0.0,52.719335492439534,0.05,0.7976984977722168,12.415685653686523,0.025121609,0.13261096,7.75,0.5,40000,7.148622035980225,1.0001599498200222,0.18334333685215332,0.0
1,712.5719194412231,0.2,2.227105745132009,30.0,0.0,54.11076549333442,0.05,0.7890493869781494,12.353751182556152,0.024866328,0.051429708,6.995,0.0,40000,13.039769887924194,381.396262900169,0.9722497645436462,0.0
2,711.0971436500549,0.85,8.530972980850427,110.0,0.0,54.52415077863066,0.05,0.7913908958435059,12.344739437103271,0.025051245,0.23702908,6.3805000000000005,0.0,40000,16.255053758621216,0.983775661870302,0.6500028855773042,0.0
3,711.4679553508759,1.8,17.93766985982293,190.0,0.0,52.87327570612243,0.05,0.7930929660797119,12.412017822265625,0.025021987,0.53820574,5.92245,0.0,40000,16.441705226898193,1.00919746007572,0.5796566671682364,0.0
4,710.1732106208801,0.25,3.526683994916471,50.0,0.0,58.82505119700109,0.05,0.7923402786254883,12.382822513580322,0.02510143,0.07214931,5.355205000000001,0.0,40000,17.507179021835327,5.229992310226781,0.6922444033552069,0.0
5,717.9620978832245,5.6,64.75831992879371,890.0,0.0,56.51619376397478,0.05,0.795452356338501,12.420002937316895,0.02505017,0.371132,5.379684500000001,0.5,40000,17.580801486968994,0.9267533776381565,0.1139433652498436,0.0
6,716.7883541584015,3.05,31.03542330950232,370.0,0.0,59.78466773711826,0.05,0.7969605922698975,12.39070463180542,0.024865737,0.060322,5.14671605,0.5,40000,17.50206232070923,2.660741225274412,0.5828065105009691,0.0
7,712.3740770816803,6.0,51.79768334587948,570.0,0.0,53.488539928072896,0.05,0.7939672470092773,12.427403926849365,0.025091715,0.11740533,5.232044445,1.0,40000,17.844627618789673,0.9925245638918693,0.61332009260369,0.0
8,715.2791075706482,12.4,85.31260164829109,920.0,0.0,57.44261479055941,0.05,0.7927191257476807,12.4438316822052,0.025097525,0.14654133,5.9488400005,2.0,40000,17.82174253463745,0.9179105785577826,0.37932908768173484,0.0
9,717.8376200199127,4.4,33.505820389896435,410.0,0.0,55.96048955458175,0.05,0.7942056655883789,12.48881196975708,0.02493448,0.11563747,5.793956000450001,0.5,40000,17.71423888206482,1.6651033053334123,0.6215355420891779,0.0
10,714.2881631851196,6.3,76.07437150578374,1070.0,0.0,54.8359553420121,0.05,0.7940490245819092,12.457515478134155,0.025236217,0.22332656,5.844560400405,0.5,40000,17.177111864089966,0.9590748609871661,0.46297520867258,0.0
11,711.1485443115234,6.5,45.81211630125812,430.0,0.0,55.506316827086366,0.05,0.796705961227417,12.442469596862793,0.025088888,0.10344442,5.9101043603645005,0.5,40000,17.129032373428345,1.4389726495463886,0.5063541326485352,0.0
12,716.0253722667694,2.55,22.18101665839508,220.0,0.0,54.045375400311926,0.05,0.794903039932251,12.44082760810852,0.024951812,0.09148975,5.57409392432805,0.0,40000,16.188972234725952,1.1697440604801657,0.26297236208489183,0.0
13,711.7410838603973,2.3,21.99340810333859,280.0,0.0,50.27852427988743,0.05,0.7859899997711182,12.44715166091919,0.02495625,0.3743792,5.246684531895244,0.5,40000,15.71222972869873,1.2957865472725971,0.5373394148785349,0.0
14,718.5975255966187,2.15,17.716588272012196,220.0,0.0,53.03087808093819,0.05,0.7949061393737793,12.427071571350098,0.02508936,0.16533151,4.93701607870572,0.0,40000,16.482666730880737,0.7123473998589356,0.35705361646375716,0.0
15,714.0096955299377,3.1,35.71260281749287,490.0,0.0,47.75430807637362,0.05,0.7935826778411865,12.417890548706055,0.024871461,0.32777432,4.753314470835148,0.5,40000,17.277051210403442,0.9074377389004482,0.3200607518622091,2.8
16,717.2462587356567,2.25,20.57759704144291,240.0,0.0,49.580835846718166,0.05,0.7934870719909668,12.435635805130005,0.024989078,0.09065182,4.502983023751633,0.0,40000,17.060479402542114,1.3987822320297474,0.6707593019162665,0.4
17,711.2995100021362,3.1,31.86518476331181,390.0,0.0,48.07829717660042,0.05,0.7949590682983398,12.44833517074585,0.0249469,1.0340512,4.3626847213764695,0.0,40000,17.335731267929077,0.9267186236918108,0.44455631422845326,4.4
18,721.0173525810242,2.5,18.07622748252522,150.0,0.0,51.15089836106036,0.05,0.7964053153991699,12.455437898635864,0.025245853,0.092192076,4.176416249238823,0.0,40000,17.355510473251343,1.2325565085918373,0.7013357539320235,0.0
19,716.0127775669098,2.05,18.474238820584734,240.0,0.0,49.26128959085243,0.05,0.7968699932098389,12.376960277557373,0.024862213,0.22745459,3.963774624314941,0.0,40000,17.359585762023926,1.0351924113352557,0.3216686486794098,0.4
20,717.5554766654968,2.65,16.476574279867762,150.0,0.0,51.569473903570525,0.05,0.7967076301574707,12.431586742401123,0.02496246,0.192861,3.832397161883447,0.0,40000,17.252827167510986,0.9403270476760202,0.573309242950102,0.0
21,719.3688704967499,4.25,38.979962801418885,520.0,0.0,54.29230772081775,0.05,0.7969315052032471,12.482922077178955,0.024915881,0.23090012,3.8741574456951025,0.0,40000,17.156064987182617,0.9958826659534923,0.7088813578458505,0.0
22,712.9575023651123,10.9,54.99263587063272,490.0,0.0,52.89136365575823,0.05,0.8031482696533203,12.5348060131073,0.024687601,0.15772688,4.576741701125592,0.5,40000,16.715401649475098,0.8341682650445084,0.41352191075944233,0.0
23,716.4971361160278,7.7,49.67605056765282,500.0,0.0,57.10282895240421,0.05,0.7965214252471924,12.459495306015015,0.025166286,0.120659865,4.889067531013033,0.0,40000,16.794443368911743,1.0672592912906178,0.6017546177707975,8.0
24,712.9637644290924,5.95,41.55836257602072,460.0,0.0,50.134099761890646,0.05,0.7953023910522461,12.434362649917603,0.025118768,0.20992675,4.99516077791173,0.5,40000,16.00585174560547,0.9941229952738047,0.49794329395016634,0.0
25,712.7236576080322,9.8,43.94268994952403,290.0,0.0,54.59781994590458,0.05,0.7959680557250977,12.448428869247437,0.025079744,0.11073163,5.475644700120558,0.5,40000,15.933296918869019,0.8173892326133729,0.4561173920843019,0.0
26,718.6222975254059,11.45,58.63785040398394,460.0,0.0,55.83689311544188,0.05,0.793694019317627,12.437433004379272,0.02497685,0.11957954,6.073080230108502,0.5,40000,16.025513410568237,0.7279771326376664,0.2101872015340769,12.4
